epoch,num_virtual_workers,local_steps,seed,train_loss,test_loss,test_acc,epoch_time_sec,samples_seen,batches_seen,averaging_rounds
0,4,1,42,2.727472721313944,1.8461270488739014,0.3076,50.361430168151855,50000,98,25
1,4,1,42,1.9086562504573745,1.5719664213180542,0.4125,27.651341199874878,100000,196,50
2,4,1,42,1.6866629853540538,1.482352961730957,0.4538,27.555993795394897,150000,294,75
3,4,1,42,1.5386276281609828,1.3981471464157105,0.4869,27.58167839050293,200000,392,100
4,4,1,42,1.4308190102479896,1.348938818359375,0.4993,27.602176189422607,250000,490,125
5,4,1,42,1.3739202886211628,1.2863032653808595,0.5129,27.606383800506592,300000,588,150
6,4,1,42,1.2909265221381674,1.1927178462982178,0.5598,27.517385005950928,350000,686,175
7,4,1,42,1.2195704883458662,1.170676556777954,0.5651,27.588323831558228,400000,784,200
8,4,1,42,1.1797720984536775,1.1248359943389892,0.591,27.513139724731445,450000,882,225
9,4,1,42,1.1093048404674142,1.1110567977905272,0.5961,27.584479331970215,500000,980,250
