epoch,k,seed,train_loss,test_loss,test_acc,epoch_time_sec,total_batches,optimizer_steps_this_epoch,comm_rounds
0,4,42,3.3653524019280256,2.2461447982788085,0.1146,27.869161128997803,98,25,25
1,4,42,2.077949882770071,1.9345698799133302,0.2728,14.918250322341919,196,25,50
2,4,42,1.801876271257595,1.714711619567871,0.3674,14.906674146652222,294,25,75
3,4,42,1.5470124276316897,1.4716310792922973,0.4526,14.898903131484985,392,25,100
4,4,42,1.3864193862798262,1.3277187057495117,0.5133,14.933164834976196,490,25,125
5,4,42,1.2505392274078058,1.1918254392623902,0.5682,14.929658651351929,588,25,150
6,4,42,1.1100087439527317,1.0864926935195922,0.6099,14.918114423751831,686,25,175
7,4,42,1.0109833004523296,1.0001850093841553,0.6422,14.897094249725342,784,25,200
8,4,42,0.8718988512243543,0.8885769090652466,0.6829,14.920427799224854,882,25,225
9,4,42,0.9066456586730723,0.9838236221313477,0.6523,14.94556212425232,980,25,250
