epoch,num_virtual_workers,local_steps,seed,train_loss,test_loss,test_acc,epoch_time_sec,samples_seen,batches_seen,averaging_rounds
0,4,8,42,2.7224986382893155,1.8648057237625122,0.3012,43.28145146369934,50000,98,4
1,4,8,42,1.9323880417006356,1.7014534421920777,0.3677,26.72873544692993,100000,196,8
2,4,8,42,1.7173074131109276,1.5304275777816772,0.4242,26.66221785545349,150000,294,12
3,4,8,42,1.555688010186565,1.4149166467666625,0.4711,26.66692805290222,200000,392,16
4,4,8,42,1.4802126373563493,1.381540746498108,0.4898,26.6560001373291,250000,490,20
5,4,8,42,1.4112413549909786,1.439324515914917,0.4695,26.73421859741211,300000,588,24
6,4,8,42,1.351595168211022,1.3076016742706298,0.5152,26.674347162246704,350000,686,28
7,4,8,42,1.2963445052808644,1.260129609298706,0.5244,26.69247031211853,400000,784,32
8,4,8,42,1.216378394438296,1.1935850900650025,0.5582,26.694334030151367,450000,882,36
9,4,8,42,1.1764510717927192,1.2077371170043945,0.56,26.662700414657593,500000,980,40
