epoch,num_virtual_workers,local_steps,seed,train_loss,test_loss,test_acc,epoch_time_sec,samples_seen,batches_seen,averaging_rounds
0,4,4,42,2.591926872730255,2.0473172096252443,0.2918,44.24355721473694,50000,98,7
1,4,4,42,1.8926244901151072,1.736860987854004,0.3472,26.761066675186157,100000,196,14
2,4,4,42,1.6847972918529899,1.7018184223175048,0.3735,26.81755495071411,150000,294,21
3,4,4,42,1.5369813247602813,1.4281025144577026,0.4659,26.78517436981201,200000,392,28
4,4,4,42,1.4678118241076568,1.378031544494629,0.4827,26.852870225906372,250000,490,35
5,4,4,42,1.3934450161700347,1.7434095302581787,0.4003,26.83453679084778,300000,588,42
6,4,4,42,1.3220982734037905,1.3376672048568725,0.5017,26.790472984313965,350000,686,49
7,4,4,42,1.2516166920564613,1.2957133163452148,0.5211,26.904814958572388,400000,784,56
8,4,4,42,1.2063857268313973,1.222140969467163,0.5494,26.78589129447937,450000,882,63
9,4,4,42,1.1661795839971425,1.1357931703567505,0.5882,26.83258366584778,500000,980,70
