epoch,k,seed,train_loss,test_loss,test_acc,epoch_time_sec,total_batches,optimizer_steps_this_epoch,comm_rounds
0,2,42,2.896512829527563,2.0751407642364503,0.2228,27.845670461654663,98,49,49
1,2,42,1.8329220864237572,1.6674652822494507,0.3883,15.003516674041748,196,49,98
2,2,42,1.5073527876211672,1.3921367097854613,0.4912,15.004303693771362,294,49,147
3,2,42,1.281829527446202,1.200116670036316,0.5618,15.009541273117065,392,49,196
4,2,42,1.0894989784882994,1.0780398712158203,0.6101,15.01027774810791,490,49,245
5,2,42,0.9018319571504787,1.0013473289489747,0.6489,15.024426937103271,588,49,294
6,2,42,0.7543100526138228,0.8536853300094605,0.7015,15.0184645652771,686,49,343
7,2,42,0.6252025955793808,0.7989614418029786,0.7247,15.012606382369995,784,49,392
8,2,42,0.508949702795671,0.9295676488876343,0.6867,15.032482624053955,882,49,441
9,2,42,0.3878137162145303,1.0056356315612793,0.6838,14.997635126113892,980,49,490
