epoch,k,seed,train_loss,test_loss,test_acc,epoch_time_sec,total_batches,optimizer_steps_this_epoch,comm_rounds
0,1,42,2.3480700084141324,1.810583014678955,0.3303,28.073318243026733,98,98,98
1,1,42,1.4099701752468032,1.4051752283096313,0.4856,15.143529891967773,196,98,196
2,1,42,1.0626858959392624,1.050898390197754,0.6247,15.140385627746582,294,98,294
3,1,42,0.822501045100543,0.8351987434387207,0.7018,15.12314486503601,392,98,392
4,1,42,0.6432311851151136,0.8851490572929382,0.7003,15.143380880355835,490,98,490
5,1,42,0.49237364408921225,0.7992853084564209,0.7343,15.154523134231567,588,98,588
6,1,42,0.3669747007744653,0.8672991071701049,0.7248,15.172356367111206,686,98,686
7,1,42,0.26269659886554797,0.9518290172576904,0.7272,15.155096054077148,784,98,784
8,1,42,0.18258557483857993,0.8066625368118286,0.7715,15.174440622329712,882,98,882
9,1,42,0.1407928757977729,1.0110332014083863,0.7392,15.128255367279053,980,98,980
